ala,data,presencas,pdf_file,ingested_at
Ala Agronômica,2025-11-23,53,2025-11-30_frequencia_Agronomica.pdf,2025-12-17T15:34:31
Ala Jardim Atlântico,2025-11-16,12,2025-11-30_frequencia_Jardim_Atlatico.pdf,2025-12-17T15:34:31
Ala Jardim Atlântico,2025-11-30,14,2025-11-30_frequencia_Jardim_Atlatico.pdf,2025-12-17T15:34:31
Ala Jardim Atlântico,2025-11-23,18,2025-11-30_frequencia_Jardim_Atlatico.pdf,2025-12-17T15:34:31
Ala Jardim Atlântico,2025-11-09,46,2025-11-30_frequencia_Jardim_Atlatico.pdf,2025-12-17T15:34:31
Ala Ingleses,2025-11-16,45,2025-11-30_frequencia_Ingles.pdf,2025-12-17T15:34:31
Ala Ingleses,2025-11-30,7,2025-11-30_frequencia_Ingles.pdf,2025-12-17T15:34:31
Ala Ingleses,2025-11-09,74,2025-11-30_frequencia_Ingles.pdf,2025-12-17T15:34:31
Ala Ingleses,2025-11-23,61,2025-11-30_frequencia_Ingles.pdf,2025-12-17T15:34:31
Ala Florianópolis Ilha,2025-11-30,10,2025-11-30_frequencia_Florianopolis_Ilha.pdf,2025-12-17T15:34:31
Ala Florianópolis Ilha,2025-11-16,12,2025-11-30_frequencia_Florianopolis_Ilha.pdf,2025-12-17T15:34:31
Ala Florianópolis Ilha,2025-11-09,42,2025-11-30_frequencia_Florianopolis_Ilha.pdf,2025-12-17T15:34:31
Ala Florianópolis Ilha,2025-11-23,36,2025-11-30_frequencia_Florianopolis_Ilha.pdf,2025-12-17T15:34:31
Ala Saco dos Limoes,2025-11-16,19,2025-11-30_frequencia_Ala_Saco_dos_Limões.pdf,2025-12-17T15:34:31
Ala Saco dos Limoes,2025-11-30,11,2025-11-30_frequencia_Ala_Saco_dos_Limões.pdf,2025-12-17T15:34:31
Ala Saco dos Limoes,2025-11-09,36,2025-11-30_frequencia_Ala_Saco_dos_Limões.pdf,2025-12-17T15:34:31
Ala Saco dos Limoes,2025-11-23,31,2025-11-30_frequencia_Ala_Saco_dos_Limões.pdf,2025-12-17T15:34:31
Ala Rio Tavares,2025-11-30,23,2025-11-30_frequencia_Ala_Rio_Tavares.pdf,2025-12-17T15:34:31
Ala Rio Tavares,2025-11-16,59,2025-11-30_frequencia_Ala_Rio_Tavares.pdf,2025-12-17T15:34:31
Ala Rio Tavares,2025-11-09,89,2025-11-30_frequencia_Ala_Rio_Tavares.pdf,2025-12-17T15:34:31
Ala Rio Tavares,2025-11-23,44,2025-11-30_frequencia_Ala_Rio_Tavares.pdf,2025-12-17T15:34:31
Ala Agronômica,2025-11-16,14,2025-11-30_frequencia_Agronomica.pdf,2025-12-17T15:34:31
Ala Agronômica,2025-11-30,12,2025-11-30_frequencia_Agronomica.pdf,2025-12-17T15:34:31
Ala Agronômica,2025-11-09,34,2025-11-30_frequencia_Agronomica.pdf,2025-12-17T15:34:31
Rio Vermelho,2025-11-09,20,2025-11-30_frequencia_Ramo_Rio_Vermelho.pdf,2025-12-17T15:34:31
Rio Vermelho,2025-11-23,10,2025-11-30_frequencia_Ramo_Rio_Vermelho.pdf,2025-12-17T15:34:31
